Tension_X(V),Intensite
-1.000,614.0
-0.995,984.0
-0.990,994.0
-0.985,978.0
-0.980,992.0
-0.975,981.0
-0.970,994.0
-0.965,990.0
-0.960,991.0
-0.955,977.0
-0.950,989.0
-0.945,989.0
-0.940,993.0
-0.935,989.0
-0.930,980.0
-0.925,984.0
-0.920,992.0
-0.915,981.0
-0.910,976.0
-0.905,991.0
-0.900,979.0
-0.895,991.0
-0.890,988.0
-0.885,976.0
-0.880,977.0
-0.875,990.0
-0.870,976.0
-0.865,985.0
-0.860,977.0
-0.855,973.0
-0.850,980.0
-0.845,989.0
-0.840,977.0
-0.835,979.0
-0.830,986.0
-0.825,985.0
-0.820,972.0
-0.815,988.0
-0.810,977.0
-0.805,974.0
-0.800,988.0
-0.795,975.0
-0.790,982.0
-0.785,987.0
-0.780,975.0
-0.775,984.0
-0.770,975.0
-0.765,975.0
-0.760,985.0
-0.755,970.0
-0.750,983.0
-0.745,968.0
-0.740,968.0
-0.735,981.0
-0.730,982.0
-0.725,969.0
-0.720,979.0
-0.715,981.0
-0.710,973.0
-0.705,968.0
-0.700,981.0
-0.695,969.0
-0.690,970.0
-0.685,984.0
-0.680,977.0
-0.675,969.0
-0.670,983.0
-0.665,969.0
-0.660,984.0
-0.655,983.0
-0.650,973.0
-0.645,969.0
-0.640,982.0
-0.635,968.0
-0.630,980.0
-0.625,969.0
-0.620,968.0
-0.615,964.0
-0.610,976.0
-0.605,978.0
-0.600,964.0
-0.595,979.0
-0.590,971.0
-0.585,968.0
-0.580,977.0
-0.575,964.0
-0.570,981.0
-0.565,969.0
-0.560,968.0
-0.555,978.0
-0.550,964.0
-0.545,970.0
-0.540,978.0
-0.535,979.0
-0.530,974.0
-0.525,962.0
-0.520,978.0
-0.515,976.0
-0.510,962.0
-0.505,972.0
-0.500,965.0
-0.495,978.0
-0.490,966.0
-0.485,970.0
-0.480,963.0
-0.475,978.0
-0.470,968.0
-0.465,975.0
-0.460,964.0
-0.455,971.0
-0.450,973.0
-0.445,976.0
-0.440,966.0
-0.435,960.0
-0.430,976.0
-0.425,966.0
-0.420,961.0
-0.415,975.0
-0.410,965.0
-0.405,965.0
-0.400,966.0
-0.395,958.0
-0.390,960.0
-0.385,970.0
-0.380,972.0
-0.375,958.0
-0.370,974.0
-0.365,963.0
-0.360,959.0
-0.355,966.0
-0.350,972.0
-0.345,966.0
-0.340,956.0
-0.335,966.0
-0.330,973.0
-0.325,961.0
-0.320,968.0
-0.315,956.0
-0.310,968.0
-0.305,969.0
-0.300,971.0
-0.295,956.0
-0.290,967.0
-0.285,963.0
-0.280,957.0
-0.275,958.0
-0.270,968.0
-0.265,956.0
-0.260,961.0
-0.255,971.0
-0.250,956.0
-0.245,965.0
-0.240,957.0
-0.235,953.0
-0.230,960.0
-0.225,968.0
-0.220,954.0
-0.215,962.0
-0.210,968.0
-0.205,953.0
-0.200,967.0
-0.195,957.0
-0.190,959.0
-0.185,966.0
-0.180,952.0
-0.175,969.0
-0.170,955.0
-0.165,958.0
-0.160,952.0
-0.155,968.0
-0.150,958.0
-0.145,955.0
-0.140,965.0
-0.135,955.0
-0.130,967.0
-0.125,964.0
-0.120,949.0
-0.115,960.0
-0.110,965.0
-0.105,950.0
-0.100,950.0
-0.095,966.0
-0.090,962.0
-0.085,949.0
-0.080,962.0
-0.075,957.0
-0.070,952.0
-0.065,952.0
-0.060,952.0
-0.055,965.0
-0.050,961.0
-0.045,965.0
-0.040,949.0
-0.035,959.0
-0.030,956.0
-0.025,947.0
-0.020,960.0
-0.015,960.0
-0.010,964.0
-0.005,952.0
0.000,955.0
0.005,960.0
0.010,947.0
0.015,953.0
0.020,961.0
0.025,956.0
0.030,946.0
0.035,957.0
0.040,957.0
0.045,945.0
0.050,962.0
0.055,950.0
0.060,957.0
0.065,945.0
0.070,958.0
0.075,957.0
0.080,945.0
0.085,951.0
0.090,946.0
0.095,961.0
0.100,946.0
0.105,960.0
0.110,950.0
0.115,949.0
0.120,960.0
0.125,958.0
0.130,944.0
0.135,949.0
0.140,944.0
0.145,960.0
0.150,944.0
0.155,944.0
0.160,956.0
0.165,954.0
0.170,943.0
0.175,956.0
0.180,949.0
0.185,945.0
0.190,948.0
0.195,942.0
0.200,948.0
0.205,954.0
0.210,945.0
0.215,944.0
0.220,957.0
0.225,940.0
0.230,954.0
0.235,947.0
0.240,941.0
0.245,942.0
0.250,957.0
0.255,945.0
0.260,944.0
0.265,954.0
0.270,955.0
0.275,952.0
0.280,939.0
0.285,953.0
0.290,950.0
0.295,938.0
0.300,951.0
0.305,942.0
0.310,942.0
0.315,954.0
0.320,940.0
0.325,955.0
0.330,940.0
0.335,949.0
0.340,949.0
0.345,951.0
0.350,941.0
0.355,942.0
0.360,939.0
0.365,953.0
0.370,940.0
0.375,942.0
0.380,950.0
0.385,936.0
0.390,937.0
0.395,942.0
0.400,951.0
0.405,935.0
0.410,948.0
0.415,943.0
0.420,943.0
0.425,950.0
0.430,949.0
0.435,935.0
0.440,947.0
0.445,946.0
0.450,936.0
0.455,935.0
0.460,939.0
0.465,950.0
0.470,934.0
0.475,946.0
0.480,943.0
0.485,935.0
0.490,949.0
0.495,938.0
0.500,934.0
0.505,938.0
