Tension_Y(V),Intensite
-1.000,866.0
-0.995,897.0
-0.990,883.0
-0.985,877.0
-0.980,885.0
-0.975,891.0
-0.970,880.0
-0.965,889.0
-0.960,882.0
-0.955,875.0
-0.950,889.0
-0.945,885.0
-0.940,873.0
-0.935,891.0
-0.930,891.0
-0.925,885.0
-0.920,874.0
-0.915,887.0
-0.910,881.0
-0.905,876.0
-0.900,878.0
-0.895,881.0
-0.890,872.0
-0.885,881.0
-0.880,887.0
-0.875,872.0
-0.870,889.0
-0.865,876.0
-0.860,876.0
-0.855,889.0
-0.850,883.0
-0.845,873.0
-0.840,888.0
-0.835,875.0
-0.830,885.0
-0.825,886.0
-0.820,885.0
-0.815,885.0
-0.810,871.0
-0.805,882.0
-0.800,884.0
-0.795,870.0
-0.790,886.0
-0.785,877.0
-0.780,870.0
-0.775,884.0
-0.770,878.0
-0.765,869.0
-0.760,869.0
-0.755,873.0
-0.750,883.0
-0.745,876.0
-0.740,870.0
-0.735,883.0
-0.730,879.0
-0.725,870.0
-0.720,886.0
-0.715,871.0
-0.710,869.0
-0.705,877.0
-0.700,869.0
-0.695,885.0
-0.690,874.0
-0.685,872.0
-0.680,867.0
-0.675,881.0
-0.670,882.0
-0.665,882.0
-0.660,872.0
-0.655,867.0
-0.650,869.0
-0.645,882.0
-0.640,872.0
-0.635,874.0
-0.630,866.0
-0.625,880.0
-0.620,883.0
-0.615,878.0
-0.610,867.0
-0.605,883.0
-0.600,871.0
-0.595,875.0
-0.590,878.0
-0.585,865.0
-0.580,874.0
-0.575,864.0
-0.570,879.0
-0.565,871.0
-0.560,870.0
-0.555,864.0
-0.550,875.0
-0.545,879.0
-0.540,864.0
-0.535,869.0
-0.530,879.0
-0.525,863.0
-0.520,871.0
-0.515,865.0
-0.510,880.0
-0.505,863.0
-0.500,870.0
-0.495,878.0
-0.490,863.0
-0.485,879.0
-0.480,870.0
-0.475,864.0
-0.470,878.0
-0.465,876.0
-0.460,862.0
-0.455,874.0
-0.450,872.0
-0.445,864.0
-0.440,862.0
-0.435,863.0
-0.430,867.0
-0.425,877.0
-0.420,863.0
-0.415,871.0
-0.410,874.0
-0.405,860.0
-0.400,873.0
-0.395,878.0
-0.390,873.0
-0.385,860.0
-0.380,874.0
-0.375,875.0
-0.370,873.0
-0.365,875.0
-0.360,860.0
-0.355,870.0
-0.350,859.0
-0.345,872.0
-0.340,868.0
-0.335,857.0
-0.330,872.0
-0.325,876.0
-0.320,875.0
-0.315,860.0
-0.310,868.0
-0.305,873.0
-0.300,870.0
-0.295,876.0
-0.290,864.0
-0.285,869.0
-0.280,858.0
-0.275,866.0
-0.270,875.0
-0.265,857.0
-0.260,871.0
-0.255,868.0
-0.250,870.0
-0.245,874.0
-0.240,863.0
-0.235,858.0
-0.230,873.0
-0.225,860.0
-0.220,871.0
-0.215,860.0
-0.210,862.0
-0.205,858.0
-0.200,873.0
-0.195,864.0
-0.190,859.0
-0.185,862.0
-0.180,856.0
-0.175,871.0
-0.170,860.0
-0.165,857.0
-0.160,870.0
-0.155,869.0
-0.150,855.0
-0.145,871.0
-0.140,854.0
-0.135,855.0
-0.130,866.0
-0.125,869.0
-0.120,855.0
-0.115,866.0
-0.110,867.0
-0.105,870.0
-0.100,857.0
-0.095,869.0
-0.090,867.0
-0.085,852.0
-0.080,870.0
-0.075,859.0
-0.070,857.0
-0.065,870.0
-0.060,869.0
-0.055,853.0
-0.050,860.0
-0.045,867.0
-0.040,851.0
-0.035,865.0
-0.030,866.0
-0.025,852.0
-0.020,862.0
-0.015,869.0
-0.010,856.0
-0.005,856.0
0.000,866.0
0.005,851.0
0.010,858.0
0.015,858.0
0.020,852.0
0.025,869.0
0.030,859.0
0.035,851.0
0.040,865.0
0.045,858.0
0.050,850.0
0.055,865.0
0.060,855.0
0.065,854.0
0.070,865.0
0.075,849.0
0.080,860.0
0.085,849.0
0.090,865.0
0.095,862.0
0.100,849.0
0.105,862.0
0.110,861.0
0.115,849.0
0.120,859.0
0.125,864.0
0.130,866.0
0.135,863.0
0.140,855.0
0.145,849.0
0.150,865.0
0.155,852.0
0.160,852.0
0.165,864.0
0.170,859.0
0.175,847.0
0.180,864.0
0.185,855.0
0.190,851.0
0.195,860.0
0.200,855.0
0.205,846.0
0.210,860.0
0.215,857.0
0.220,847.0
0.225,863.0
0.230,863.0
0.235,852.0
0.240,863.0
0.245,855.0
0.250,848.0
0.255,863.0
0.260,850.0
0.265,862.0
0.270,850.0
0.275,852.0
0.280,861.0
0.285,851.0
0.290,847.0
0.295,862.0
0.300,846.0
0.305,858.0
0.310,859.0
0.315,845.0
0.320,846.0
0.325,858.0
0.330,858.0
0.335,844.0
0.340,857.0
0.345,850.0
0.350,846.0
0.355,861.0
0.360,844.0
0.365,850.0
0.370,858.0
0.375,845.0
0.380,854.0
0.385,859.0
0.390,848.0
0.395,843.0
0.400,847.0
0.405,846.0
0.410,859.0
0.415,848.0
0.420,844.0
0.425,843.0
0.430,851.0
0.435,859.0
0.440,844.0
0.445,858.0
0.450,850.0
0.455,844.0
0.460,851.0
0.465,841.0
0.470,848.0
0.475,842.0
0.480,854.0
0.485,850.0
0.490,843.0
0.495,843.0
0.500,854.0
0.505,849.0
0.510,850.0
0.515,840.0
0.520,857.0
0.525,847.0
0.530,850.0
0.535,839.0
0.540,852.0
0.545,848.0
0.550,856.0
0.555,845.0
0.560,841.0
0.565,855.0
0.570,856.0
0.575,845.0
0.580,856.0
0.585,847.0
0.590,841.0
0.595,855.0
0.600,843.0
0.605,844.0
0.610,837.0
0.615,854.0
0.620,842.0
0.625,840.0
0.630,855.0
0.635,839.0
0.640,849.0
0.645,848.0
0.650,842.0
0.655,840.0
0.660,854.0
0.665,844.0
0.670,839.0
0.675,853.0
0.680,842.0
0.685,853.0
0.690,851.0
0.695,838.0
0.700,840.0
0.705,851.0
0.710,836.0
0.715,852.0
0.720,844.0
0.725,837.0
0.730,833.0
0.735,838.0
0.740,852.0
0.745,835.0
0.750,847.0
0.755,841.0
0.760,836.0
0.765,840.0
0.770,833.0
0.775,847.0
0.780,849.0
0.785,834.0
0.790,848.0
0.795,837.0
0.800,839.0
0.805,845.0
0.810,850.0
0.815,833.0
0.820,846.0
0.825,845.0
0.830,850.0
0.835,845.0
0.840,833.0
0.845,833.0
0.850,842.0
0.855,846.0
0.860,833.0
0.865,840.0
0.870,833.0
0.875,846.0
0.880,833.0
0.885,837.0
0.890,848.0
0.895,833.0
0.900,848.0
0.905,839.0
0.910,834.0
0.915,833.0
0.920,845.0
0.925,839.0
0.930,834.0
0.935,844.0
0.940,845.0
0.945,830.0
0.950,845.0
0.955,835.0
0.960,832.0
0.965,847.0
0.970,832.0
0.975,847.0
0.980,836.0
0.985,833.0
0.990,833.0
0.995,846.0
