Tension_X(V),Intensite
-1.000,553.0
-0.995,854.0
-0.990,866.0
-0.985,865.0
-0.980,850.0
-0.975,861.0
-0.970,863.0
-0.965,849.0
-0.960,866.0
-0.955,855.0
-0.950,862.0
-0.945,849.0
-0.940,862.0
-0.935,865.0
-0.930,852.0
-0.925,851.0
-0.920,862.0
-0.915,846.0
-0.910,845.0
-0.905,857.0
-0.900,859.0
-0.895,856.0
-0.890,844.0
-0.885,856.0
-0.880,856.0
-0.875,844.0
-0.870,859.0
-0.865,855.0
-0.860,842.0
-0.855,853.0
-0.850,859.0
-0.845,842.0
-0.840,854.0
-0.835,848.0
-0.830,843.0
-0.825,857.0
-0.820,844.0
-0.815,849.0
-0.810,855.0
-0.805,847.0
-0.800,839.0
-0.795,855.0
-0.790,842.0
-0.785,851.0
-0.780,852.0
-0.775,840.0
-0.770,838.0
-0.765,849.0
-0.760,844.0
-0.755,838.0
-0.750,852.0
-0.745,837.0
-0.740,843.0
-0.735,833.0
-0.730,837.0
-0.725,851.0
-0.720,840.0
-0.715,837.0
-0.710,849.0
-0.705,832.0
-0.700,833.0
-0.695,846.0
-0.690,839.0
-0.685,830.0
-0.680,846.0
-0.675,840.0
-0.670,831.0
-0.665,846.0
-0.660,842.0
-0.655,828.0
-0.650,837.0
-0.645,828.0
-0.640,842.0
-0.635,840.0
-0.630,828.0
-0.625,844.0
-0.620,835.0
-0.615,825.0
-0.610,840.0
-0.605,840.0
-0.600,826.0
-0.595,834.0
-0.590,840.0
-0.585,824.0
-0.580,842.0
-0.575,842.0
-0.570,833.0
-0.565,839.0
-0.560,829.0
-0.555,827.0
-0.550,838.0
-0.545,822.0
-0.540,839.0
-0.535,839.0
-0.530,827.0
-0.525,825.0
-0.520,839.0
-0.515,829.0
-0.510,824.0
-0.505,837.0
-0.500,827.0
-0.495,820.0
-0.490,830.0
-0.485,832.0
-0.480,836.0
-0.475,824.0
-0.470,824.0
-0.465,833.0
-0.460,817.0
-0.455,831.0
-0.450,834.0
-0.445,825.0
-0.440,821.0
-0.435,815.0
-0.430,829.0
-0.425,828.0
-0.420,815.0
-0.415,832.0
-0.410,828.0
-0.405,827.0
-0.400,812.0
-0.395,819.0
-0.390,830.0
-0.385,814.0
-0.380,824.0
-0.375,828.0
-0.370,812.0
-0.365,820.0
-0.360,826.0
-0.355,821.0
-0.350,827.0
-0.345,812.0
-0.340,821.0
-0.335,821.0
-0.330,827.0
-0.325,823.0
-0.320,808.0
-0.315,815.0
-0.310,826.0
-0.305,813.0
-0.300,820.0
-0.295,820.0
-0.290,808.0
-0.285,820.0
-0.280,820.0
-0.275,813.0
-0.270,808.0
-0.265,822.0
-0.260,805.0
-0.255,823.0
-0.250,821.0
-0.245,811.0
-0.240,809.0
-0.235,822.0
-0.230,809.0
-0.225,816.0
-0.220,815.0
-0.215,807.0
-0.210,804.0
-0.205,815.0
-0.200,815.0
-0.195,803.0
-0.190,808.0
-0.185,817.0
-0.180,801.0
-0.175,819.0
-0.170,804.0
-0.165,819.0
-0.160,807.0
-0.155,802.0
-0.150,800.0
-0.145,814.0
-0.140,808.0
-0.135,802.0
-0.130,815.0
-0.125,802.0
-0.120,800.0
-0.115,816.0
-0.110,810.0
-0.105,814.0
-0.100,797.0
-0.095,814.0
-0.090,803.0
-0.085,803.0
-0.080,797.0
-0.075,813.0
-0.070,811.0
-0.065,800.0
-0.060,805.0
-0.055,810.0
-0.050,795.0
-0.045,808.0
-0.040,810.0
-0.035,795.0
-0.030,810.0
-0.025,798.0
-0.020,804.0
-0.015,806.0
-0.010,793.0
-0.005,810.0
0.000,809.0
0.005,803.0
0.010,802.0
0.015,790.0
0.020,804.0
0.025,799.0
0.030,795.0
0.035,805.0
0.040,795.0
0.045,791.0
0.050,807.0
0.055,802.0
0.060,789.0
0.065,802.0
0.070,803.0
0.075,790.0
0.080,794.0
0.085,788.0
0.090,791.0
0.095,800.0
0.100,803.0
0.105,787.0
0.110,804.0
0.115,794.0
0.120,789.0
0.125,787.0
0.130,790.0
0.135,802.0
0.140,801.0
0.145,787.0
0.150,797.0
0.155,796.0
0.160,786.0
0.165,786.0
0.170,786.0
0.175,801.0
0.180,792.0
0.185,787.0
0.190,787.0
0.195,799.0
0.200,782.0
0.205,796.0
0.210,798.0
0.215,788.0
0.220,782.0
0.225,798.0
0.230,789.0
0.235,780.0
0.240,798.0
0.245,790.0
0.250,781.0
0.255,796.0
0.260,793.0
0.265,796.0
0.270,784.0
0.275,782.0
0.280,795.0
0.285,777.0
0.290,791.0
0.295,793.0
0.300,782.0
0.305,782.0
0.310,779.0
0.315,794.0
0.320,778.0
0.325,786.0
0.330,790.0
0.335,776.0
0.340,780.0
0.345,793.0
0.350,788.0
0.355,776.0
0.360,787.0
0.365,787.0
0.370,775.0
0.375,788.0
0.380,791.0
0.385,778.0
0.390,787.0
0.395,774.0
0.400,785.0
0.405,787.0
0.410,772.0
0.415,786.0
0.420,787.0
0.425,772.0
0.430,777.0
0.435,776.0
0.440,787.0
0.445,773.0
0.450,785.0
0.455,784.0
0.460,786.0
0.465,770.0
0.470,774.0
0.475,784.0
0.480,778.0
0.485,779.0
0.490,774.0
0.495,784.0
0.500,782.0
0.505,770.0
0.510,782.0
0.515,770.0
0.520,786.0
0.525,773.0
0.530,780.0
0.535,774.0
0.540,777.0
0.545,781.0
0.550,767.0
0.555,781.0
0.560,767.0
0.565,783.0
0.570,767.0
0.575,783.0
0.580,768.0
0.585,779.0
0.590,777.0
0.595,771.0
0.600,764.0
0.605,779.0
0.610,764.0
0.615,781.0
0.620,764.0
0.625,782.0
0.630,772.0
0.635,771.0
0.640,779.0
0.645,767.0
0.650,777.0
0.655,766.0
0.660,766.0
0.665,779.0
0.670,760.0
0.675,773.0
0.680,768.0
0.685,765.0
0.690,776.0
0.695,761.0
0.700,775.0
0.705,760.0
0.710,775.0
0.715,758.0
0.720,777.0
0.725,757.0
0.730,772.0
0.735,771.0
0.740,761.0
0.745,770.0
0.750,760.0
0.755,769.0
0.760,756.0
0.765,774.0
0.770,755.0
0.775,771.0
0.780,761.0
0.785,766.0
