Tension_Y(V),Intensite
-1.000,739.0
-0.995,731.0
-0.990,749.0
-0.985,732.0
-0.980,733.0
-0.975,744.0
-0.970,742.0
-0.965,731.0
-0.960,740.0
-0.955,746.0
-0.950,729.0
-0.945,747.0
-0.940,736.0
-0.935,730.0
-0.930,742.0
-0.925,743.0
-0.920,744.0
-0.915,729.0
-0.910,746.0
-0.905,733.0
-0.900,740.0
-0.895,742.0
-0.890,729.0
-0.885,735.0
-0.880,746.0
-0.875,739.0
-0.870,728.0
-0.865,745.0
-0.860,733.0
-0.855,733.0
-0.850,741.0
-0.845,742.0
-0.840,739.0
-0.835,726.0
-0.830,737.0
-0.825,739.0
-0.820,726.0
-0.815,742.0
-0.810,730.0
-0.805,743.0
-0.800,729.0
-0.795,726.0
-0.790,735.0
-0.785,738.0
-0.780,725.0
-0.775,741.0
-0.770,725.0
-0.765,736.0
-0.760,739.0
-0.755,729.0
-0.750,726.0
-0.745,741.0
-0.740,727.0
-0.735,725.0
-0.730,740.0
-0.725,727.0
-0.720,721.0
-0.715,724.0
-0.710,735.0
-0.705,736.0
-0.700,720.0
-0.695,736.0
-0.690,728.0
-0.685,720.0
-0.680,728.0
-0.675,738.0
-0.670,734.0
-0.665,720.0
-0.660,734.0
-0.655,728.0
-0.650,721.0
-0.645,736.0
-0.640,734.0
-0.635,718.0
-0.630,732.0
-0.625,735.0
-0.620,723.0
-0.615,729.0
-0.610,734.0
-0.605,718.0
-0.600,718.0
-0.595,724.0
-0.590,725.0
-0.585,735.0
-0.580,722.0
-0.575,725.0
-0.570,730.0
-0.565,718.0
-0.560,724.0
-0.555,734.0
-0.550,734.0
-0.545,729.0
-0.540,716.0
-0.535,733.0
-0.530,720.0
-0.525,725.0
-0.520,731.0
-0.515,723.0
-0.510,732.0
-0.505,727.0
-0.500,716.0
-0.495,732.0
-0.490,718.0
-0.485,725.0
-0.480,717.0
-0.475,732.0
-0.470,720.0
-0.465,726.0
-0.460,728.0
-0.455,712.0
-0.450,730.0
-0.445,720.0
-0.440,721.0
-0.435,712.0
-0.430,729.0
-0.425,728.0
-0.420,717.0
-0.415,719.0
-0.410,727.0
-0.405,711.0
-0.400,711.0
-0.395,724.0
-0.390,725.0
-0.385,711.0
-0.380,713.0
-0.375,729.0
-0.370,714.0
-0.365,721.0
-0.360,724.0
-0.355,721.0
-0.350,709.0
-0.345,709.0
-0.340,717.0
-0.335,726.0
-0.330,709.0
-0.325,721.0
-0.320,721.0
-0.315,707.0
-0.310,719.0
-0.305,723.0
-0.300,717.0
-0.295,708.0
-0.290,725.0
-0.285,712.0
-0.280,714.0
-0.275,724.0
-0.270,712.0
-0.265,710.0
-0.260,710.0
-0.255,710.0
-0.250,723.0
-0.245,707.0
-0.240,718.0
-0.235,712.0
-0.230,705.0
-0.225,717.0
-0.220,721.0
-0.215,710.0
-0.210,714.0
-0.205,720.0
-0.200,704.0
-0.195,720.0
-0.190,719.0
-0.185,710.0
-0.180,708.0
-0.175,704.0
-0.170,718.0
-0.165,715.0
-0.160,704.0
-0.155,721.0
-0.150,703.0
-0.145,710.0
-0.140,717.0
-0.135,710.0
-0.130,703.0
-0.125,720.0
-0.120,710.0
-0.115,707.0
-0.110,716.0
-0.105,716.0
-0.100,701.0
-0.095,701.0
-0.090,716.0
-0.085,708.0
-0.080,705.0
-0.075,716.0
-0.070,709.0
-0.065,700.0
-0.060,718.0
-0.055,706.0
-0.050,701.0
-0.045,717.0
-0.040,707.0
-0.035,703.0
-0.030,716.0
-0.025,715.0
-0.020,704.0
-0.015,709.0
-0.010,715.0
-0.005,703.0
0.000,707.0
0.005,712.0
0.010,699.0
0.015,703.0
0.020,697.0
0.025,715.0
0.030,712.0
0.035,712.0
0.040,697.0
0.045,712.0
0.050,705.0
0.055,700.0
0.060,698.0
0.065,714.0
0.070,702.0
0.075,714.0
0.080,701.0
0.085,700.0
0.090,712.0
0.095,696.0
0.100,709.0
0.105,709.0
0.110,697.0
0.115,706.0
0.120,710.0
0.125,696.0
0.130,710.0
0.135,695.0
0.140,711.0
0.145,707.0
0.150,696.0
0.155,697.0
0.160,711.0
0.165,698.0
0.170,706.0
0.175,701.0
0.180,697.0
0.185,697.0
0.190,703.0
0.195,706.0
0.200,693.0
0.205,705.0
0.210,702.0
0.215,693.0
0.220,707.0
0.225,692.0
0.230,694.0
0.235,708.0
0.240,696.0
0.245,695.0
0.250,708.0
0.255,690.0
0.260,708.0
0.265,696.0
0.270,691.0
0.275,702.0
0.280,707.0
0.285,703.0
0.290,691.0
0.295,707.0
0.300,691.0
0.305,702.0
0.310,706.0
0.315,702.0
0.320,701.0
0.325,690.0
0.330,701.0
0.335,701.0
0.340,691.0
0.345,704.0
0.350,691.0
0.355,689.0
0.360,705.0
0.365,695.0
0.370,686.0
0.375,701.0
0.380,695.0
0.385,689.0
0.390,704.0
0.395,703.0
0.400,701.0
0.405,694.0
