Tension_X(V),Intensite
-1.000,360.0
-0.995,362.0
-0.990,357.0
-0.985,357.0
-0.980,360.0
-0.975,357.0
-0.970,358.0
-0.965,362.0
-0.960,356.0
-0.955,360.0
-0.950,361.0
-0.945,356.0
-0.940,360.0
-0.935,361.0
-0.930,356.0
-0.925,361.0
-0.920,361.0
-0.915,356.0
-0.910,361.0
-0.905,358.0
-0.900,356.0
-0.895,361.0
-0.890,358.0
-0.885,357.0
-0.880,361.0
-0.875,357.0
-0.870,356.0
-0.865,361.0
-0.860,356.0
-0.855,360.0
-0.850,359.0
-0.845,356.0
-0.840,362.0
-0.835,358.0
-0.830,358.0
-0.825,360.0
-0.820,355.0
-0.815,361.0
-0.810,358.0
-0.805,358.0
-0.800,360.0
-0.795,355.0
-0.790,363.0
-0.785,357.0
-0.780,355.0
-0.775,361.0
-0.770,356.0
-0.765,356.0
-0.760,361.0
-0.755,355.0
-0.750,359.0
-0.745,359.0
-0.740,356.0
-0.735,361.0
-0.730,359.0
-0.725,357.0
-0.720,362.0
-0.715,355.0
-0.710,360.0
-0.705,356.0
-0.700,355.0
-0.695,361.0
-0.690,357.0
-0.685,358.0
-0.680,360.0
-0.675,355.0
-0.670,357.0
-0.665,360.0
-0.660,354.0
-0.655,359.0
-0.650,357.0
-0.645,356.0
-0.640,359.0
-0.635,354.0
-0.630,360.0
-0.625,354.0
-0.620,357.0
-0.615,360.0
-0.610,354.0
-0.605,360.0
-0.600,354.0
-0.595,357.0
-0.590,360.0
-0.585,354.0
-0.580,360.0
-0.575,358.0
-0.570,354.0
-0.565,359.0
-0.560,357.0
-0.555,355.0
-0.550,361.0
-0.545,357.0
-0.540,356.0
-0.535,360.0
-0.530,358.0
-0.525,355.0
-0.520,360.0
-0.515,354.0
-0.510,359.0
-0.505,357.0
-0.500,354.0
-0.495,360.0
-0.490,356.0
-0.485,356.0
-0.480,359.0
-0.475,354.0
-0.470,358.0
-0.465,357.0
-0.460,354.0
-0.455,359.0
-0.450,356.0
-0.445,354.0
-0.440,359.0
-0.435,354.0
-0.430,356.0
-0.425,358.0
-0.420,353.0
-0.415,359.0
-0.410,357.0
-0.405,353.0
-0.400,359.0
-0.395,355.0
-0.390,355.0
-0.385,359.0
-0.380,354.0
-0.375,354.0
-0.370,359.0
-0.365,353.0
-0.360,353.0
-0.355,359.0
-0.350,356.0
-0.345,353.0
-0.340,359.0
-0.335,358.0
-0.330,353.0
-0.325,357.0
-0.320,357.0
-0.315,354.0
-0.310,357.0
-0.305,352.0
-0.300,358.0
-0.295,358.0
-0.290,353.0
-0.285,358.0
-0.280,357.0
-0.275,353.0
-0.270,358.0
-0.265,355.0
-0.260,354.0
-0.255,359.0
-0.250,350.0
-0.245,357.0
-0.240,358.0
-0.235,352.0
-0.230,358.0
-0.225,355.0
-0.220,354.0
-0.215,358.0
-0.210,353.0
-0.205,356.0
-0.200,357.0
-0.195,352.0
-0.190,358.0
-0.185,354.0
-0.180,351.0
-0.175,358.0
-0.170,351.0
-0.165,358.0
-0.160,356.0
-0.155,352.0
-0.150,358.0
-0.145,355.0
-0.140,353.0
-0.135,358.0
-0.130,353.0
-0.125,355.0
-0.120,357.0
-0.115,352.0
-0.110,358.0
-0.105,355.0
-0.100,353.0
-0.095,358.0
-0.090,353.0
-0.085,357.0
-0.080,356.0
-0.075,352.0
-0.070,358.0
-0.065,354.0
-0.060,353.0
-0.055,358.0
-0.050,353.0
-0.045,355.0
-0.040,359.0
-0.035,351.0
-0.030,359.0
-0.025,354.0
-0.020,353.0
-0.015,357.0
-0.010,351.0
-0.005,357.0
0.000,355.0
0.005,352.0
0.010,357.0
0.015,353.0
0.020,355.0
0.025,355.0
0.030,352.0
0.035,357.0
0.040,351.0
0.045,352.0
0.050,357.0
0.055,353.0
0.060,352.0
0.065,357.0
0.070,353.0
0.075,352.0
0.080,357.0
0.085,352.0
0.090,354.0
0.095,354.0
0.100,353.0
0.105,354.0
0.110,356.0
0.115,352.0
0.120,357.0
0.125,354.0
0.130,351.0
0.135,357.0
0.140,351.0
0.145,357.0
0.150,353.0
0.155,355.0
0.160,355.0
0.165,351.0
0.170,357.0
0.175,352.0
0.180,353.0
0.185,355.0
0.190,350.0
0.195,356.0
0.200,352.0
0.205,351.0
0.210,356.0
0.215,350.0
0.220,355.0
