Tension_X(V),Intensite
-1.000,796.0
-0.995,814.0
-0.990,779.0
-0.985,748.0
-0.980,721.0
-0.975,695.0
-0.970,670.0
-0.965,652.0
-0.960,636.0
-0.955,617.0
-0.950,599.0
-0.945,581.0
-0.940,573.0
-0.935,562.0
-0.930,554.0
-0.925,543.0
-0.920,533.0
-0.915,528.0
-0.910,518.0
-0.905,517.0
-0.900,510.0
-0.895,503.0
-0.890,502.0
-0.885,503.0
-0.880,491.0
-0.875,491.0
-0.870,491.0
-0.865,488.0
-0.860,485.0
-0.855,485.0
-0.850,482.0
-0.845,482.0
-0.840,475.0
-0.835,482.0
-0.830,473.0
-0.825,472.0
-0.820,478.0
-0.815,475.0
-0.810,476.0
-0.805,469.0
-0.800,469.0
-0.795,472.0
-0.790,470.0
-0.785,468.0
-0.780,470.0
-0.775,475.0
-0.770,471.0
-0.765,471.0
-0.760,465.0
-0.755,469.0
-0.750,468.0
-0.745,467.0
-0.740,472.0
-0.735,467.0
-0.730,473.0
-0.725,470.0
-0.720,467.0
-0.715,467.0
-0.710,472.0
-0.705,466.0
-0.700,467.0
-0.695,471.0
-0.690,474.0
-0.685,465.0
-0.680,464.0
-0.675,469.0
-0.670,465.0
-0.665,468.0
-0.660,478.0
-0.655,474.0
-0.650,470.0
-0.645,469.0
-0.640,467.0
-0.635,470.0
-0.630,472.0
-0.625,468.0
-0.620,472.0
-0.615,476.0
-0.610,474.0
-0.605,469.0
-0.600,470.0
-0.595,475.0
-0.590,477.0
-0.585,471.0
-0.580,473.0
-0.575,480.0
-0.570,477.0
-0.565,474.0
-0.560,474.0
-0.555,484.0
-0.550,485.0
-0.545,479.0
-0.540,479.0
-0.535,479.0
-0.530,474.0
-0.525,479.0
-0.520,487.0
-0.515,485.0
-0.510,485.0
-0.505,483.0
-0.500,492.0
-0.495,499.0
-0.490,502.0
-0.485,512.0
-0.480,523.0
-0.475,528.0
-0.470,544.0
-0.465,570.0
-0.460,593.0
-0.455,634.0
-0.450,682.0
-0.445,735.0
-0.440,802.0
-0.435,858.0
-0.430,861.0
-0.425,860.0
-0.420,863.0
-0.415,867.0
-0.410,866.0
-0.405,865.0
-0.400,867.0
-0.395,865.0
-0.390,867.0
-0.385,869.0
-0.380,870.0
-0.375,867.0
-0.370,870.0
-0.365,866.0
-0.360,873.0
-0.355,872.0
-0.350,869.0
-0.345,867.0
-0.340,872.0
-0.335,873.0
-0.330,869.0
-0.325,868.0
-0.320,868.0
-0.315,869.0
-0.310,874.0
-0.305,871.0
-0.300,869.0
-0.295,873.0
-0.290,868.0
-0.285,872.0
-0.280,871.0
-0.275,868.0
-0.270,866.0
-0.265,867.0
-0.260,873.0
-0.255,872.0
-0.250,870.0
-0.245,870.0
-0.240,867.0
-0.235,865.0
-0.230,865.0
-0.225,862.0
-0.220,862.0
-0.215,860.0
-0.210,864.0
-0.205,860.0
-0.200,855.0
-0.195,859.0
-0.190,856.0
-0.185,857.0
-0.180,856.0
-0.175,852.0
-0.170,845.0
-0.165,849.0
-0.160,842.0
-0.155,843.0
-0.150,841.0
-0.145,835.0
-0.140,821.0
-0.135,810.0
-0.130,788.0
-0.125,767.0
-0.120,747.0
-0.115,722.0
-0.110,695.0
-0.105,675.0
-0.100,653.0
-0.095,640.0
