Tension_X(V),Intensite
-1.000,422.0
-0.995,434.0
-0.990,445.0
-0.985,451.0
-0.980,459.0
-0.975,467.0
-0.970,475.0
-0.965,481.0
-0.960,486.0
-0.955,492.0
-0.950,497.0
-0.945,502.0
-0.940,505.0
-0.935,508.0
-0.930,512.0
-0.925,514.0
-0.920,519.0
-0.915,523.0
-0.910,525.0
-0.905,528.0
-0.900,530.0
-0.895,535.0
-0.890,539.0
-0.885,542.0
-0.880,545.0
-0.875,548.0
-0.870,553.0
-0.865,556.0
-0.860,559.0
-0.855,564.0
-0.850,567.0
-0.845,572.0
-0.840,576.0
-0.835,582.0
-0.830,587.0
-0.825,593.0
-0.820,598.0
-0.815,604.0
-0.810,610.0
-0.805,618.0
-0.800,624.0
-0.795,633.0
-0.790,641.0
-0.785,650.0
-0.780,659.0
-0.775,671.0
-0.770,682.0
-0.765,693.0
-0.760,705.0
-0.755,725.0
-0.750,738.0
-0.745,744.0
-0.740,746.0
-0.735,747.0
-0.730,749.0
-0.725,752.0
-0.720,755.0
-0.715,757.0
-0.710,758.0
-0.705,759.0
-0.700,761.0
-0.695,763.0
-0.690,764.0
-0.685,766.0
-0.680,766.0
-0.675,768.0
-0.670,769.0
-0.665,769.0
-0.660,771.0
-0.655,772.0
-0.650,772.0
-0.645,773.0
-0.640,773.0
-0.635,775.0
-0.630,775.0
-0.625,775.0
-0.620,775.0
-0.615,775.0
-0.610,777.0
-0.605,777.0
-0.600,778.0
-0.595,779.0
-0.590,779.0
-0.585,780.0
-0.580,781.0
-0.575,779.0
-0.570,778.0
-0.565,780.0
-0.560,781.0
-0.555,781.0
-0.550,781.0
-0.545,782.0
-0.540,781.0
-0.535,782.0
-0.530,781.0
-0.525,782.0
-0.520,782.0
-0.515,783.0
-0.510,783.0
-0.505,782.0
-0.500,783.0
-0.495,783.0
-0.490,783.0
-0.485,783.0
-0.480,783.0
-0.475,784.0
-0.470,783.0
-0.465,784.0
-0.460,782.0
-0.455,784.0
-0.450,781.0
-0.445,784.0
-0.440,784.0
-0.435,784.0
-0.430,784.0
-0.425,785.0
-0.420,784.0
-0.415,784.0
-0.410,784.0
-0.405,784.0
-0.400,785.0
-0.395,784.0
-0.390,783.0
-0.385,784.0
-0.380,784.0
-0.375,783.0
-0.370,784.0
-0.365,783.0
-0.360,783.0
-0.355,782.0
-0.350,780.0
-0.345,782.0
-0.340,781.0
-0.335,781.0
-0.330,780.0
-0.325,780.0
-0.320,779.0
-0.315,779.0
-0.310,779.0
-0.305,778.0
-0.300,777.0
-0.295,777.0
-0.290,776.0
-0.285,775.0
-0.280,774.0
-0.275,774.0
-0.270,774.0
-0.265,771.0
-0.260,770.0
-0.255,769.0
-0.250,767.0
-0.245,765.0
-0.240,763.0
-0.235,763.0
-0.230,761.0
-0.225,759.0
-0.220,758.0
-0.215,756.0
-0.210,754.0
-0.205,752.0
-0.200,750.0
-0.195,748.0
-0.190,746.0
-0.185,744.0
-0.180,740.0
-0.175,739.0
-0.170,737.0
-0.165,733.0
-0.160,730.0
-0.155,728.0
-0.150,726.0
-0.145,724.0
-0.140,722.0
-0.135,721.0
-0.130,720.0
-0.125,720.0
-0.120,717.0
-0.115,718.0
-0.110,717.0
-0.105,716.0
-0.100,715.0
-0.095,714.0
-0.090,714.0
-0.085,712.0
-0.080,711.0
-0.075,711.0
-0.070,711.0
-0.065,710.0
-0.060,709.0
-0.055,709.0
-0.050,710.0
-0.045,708.0
-0.040,709.0
-0.035,709.0
-0.030,709.0
-0.025,712.0
-0.020,713.0
-0.015,715.0
-0.010,717.0
-0.005,718.0
0.000,720.0
0.005,722.0
0.010,724.0
0.015,727.0
0.020,727.0
0.025,730.0
0.030,731.0
0.035,730.0
0.040,733.0
0.045,735.0
0.050,738.0
0.055,737.0
0.060,737.0
0.065,739.0
0.070,739.0
0.075,739.0
0.080,739.0
0.085,743.0
0.090,743.0
0.095,742.0
0.100,745.0
0.105,745.0
0.110,745.0
0.115,744.0
0.120,745.0
0.125,745.0
0.130,744.0
0.135,746.0
0.140,747.0
0.145,745.0
0.150,747.0
0.155,747.0
0.160,747.0
0.165,748.0
0.170,749.0
0.175,749.0
0.180,750.0
0.185,748.0
0.190,747.0
0.195,748.0
0.200,748.0
0.205,748.0
0.210,748.0
0.215,749.0
0.220,748.0
0.225,748.0
0.230,746.0
0.235,748.0
0.240,748.0
0.245,747.0
0.250,747.0
0.255,745.0
0.260,749.0
0.265,748.0
0.270,747.0
0.275,747.0
0.280,747.0
0.285,747.0
0.290,747.0
0.295,747.0
0.300,747.0
0.305,744.0
0.310,746.0
0.315,746.0
0.320,745.0
0.325,745.0
0.330,745.0
0.335,745.0
0.340,744.0
0.345,744.0
0.350,744.0
0.355,744.0
0.360,741.0
0.365,742.0
0.370,741.0
0.375,741.0
0.380,740.0
0.385,740.0
0.390,739.0
0.395,738.0
0.400,738.0
0.405,735.0
0.410,734.0
0.415,739.0
0.420,734.0
0.425,733.0
0.430,733.0
0.435,732.0
0.440,731.0
0.445,730.0
0.450,729.0
0.455,728.0
0.460,726.0
0.465,724.0
0.470,723.0
0.475,721.0
0.480,719.0
0.485,718.0
0.490,716.0
0.495,714.0
0.500,713.0
0.505,711.0
0.510,707.0
0.515,704.0
0.520,700.0
0.525,697.0
0.530,693.0
0.535,687.0
0.540,680.0
0.545,674.0
0.550,665.0
0.555,658.0
0.560,648.0
0.565,638.0
0.570,629.0
0.575,620.0
0.580,610.0
0.585,600.0
0.590,590.0
0.595,585.0
0.600,575.0
0.605,566.0
0.610,559.0
0.615,552.0
0.620,545.0
0.625,539.0
0.630,533.0
0.635,526.0
0.640,521.0
0.645,518.0
0.650,512.0
0.655,507.0
0.660,503.0
0.665,498.0
0.670,493.0
0.675,490.0
0.680,487.0
0.685,483.0
0.690,480.0
0.695,477.0
0.700,476.0
0.705,474.0
0.710,471.0
0.715,467.0
0.720,465.0
0.725,464.0
0.730,461.0
0.735,458.0
0.740,457.0
0.745,456.0
0.750,454.0
0.755,452.0
0.760,450.0
0.765,450.0
0.770,448.0
0.775,448.0
0.780,443.0
0.785,443.0
0.790,443.0
0.795,442.0
0.800,442.0
0.805,440.0
0.810,439.0
0.815,439.0
0.820,439.0
0.825,438.0
0.830,436.0
0.835,435.0
0.840,433.0
0.845,436.0
0.850,435.0
0.855,437.0
0.860,434.0
0.865,433.0
0.870,432.0
0.875,432.0
0.880,432.0
0.885,431.0
0.890,431.0
0.895,430.0
0.900,429.0
0.905,431.0
0.910,429.0
0.915,429.0
0.920,430.0
0.925,429.0
0.930,428.0
0.935,427.0
0.940,427.0
0.945,426.0
0.950,426.0
0.955,425.0
0.960,427.0
0.965,427.0
0.970,427.0
0.975,426.0
0.980,426.0
0.985,426.0
0.990,427.0
0.995,426.0
1.000,426.0
