Tension_X(V),Intensite
-1.000,875.0
-0.995,890.0
-0.990,866.0
-0.985,840.0
-0.980,809.0
-0.975,787.0
-0.970,760.0
-0.965,734.0
-0.960,722.0
-0.955,712.0
-0.950,698.0
-0.945,676.0
-0.940,661.0
-0.935,659.0
-0.930,654.0
-0.925,642.0
-0.920,631.0
-0.915,620.0
-0.910,625.0
-0.905,627.0
-0.900,612.0
-0.895,617.0
-0.890,619.0
-0.885,616.0
-0.880,601.0
-0.875,612.0
-0.870,617.0
-0.865,615.0
-0.860,618.0
-0.855,617.0
-0.850,621.0
-0.845,614.0
-0.840,626.0
-0.835,630.0
-0.830,630.0
-0.825,635.0
-0.820,642.0
-0.815,635.0
-0.810,645.0
-0.805,646.0
-0.800,664.0
-0.795,674.0
-0.790,681.0
-0.785,691.0
-0.780,700.0
-0.775,710.0
-0.770,712.0
-0.765,735.0
-0.760,751.0
-0.755,762.0
-0.750,788.0
-0.745,804.0
-0.740,824.0
-0.735,861.0
-0.730,897.0
-0.725,929.0
-0.720,935.0
-0.715,937.0
-0.710,942.0
-0.705,948.0
-0.700,950.0
-0.695,943.0
-0.690,948.0
-0.685,954.0
-0.680,956.0
-0.675,956.0
-0.670,951.0
-0.665,958.0
-0.660,959.0
-0.655,959.0
-0.650,956.0
-0.645,961.0
-0.640,962.0
-0.635,960.0
-0.630,956.0
-0.625,963.0
-0.620,963.0
-0.615,961.0
-0.610,961.0
-0.605,962.0
-0.600,962.0
-0.595,963.0
-0.590,963.0
-0.585,962.0
-0.580,963.0
-0.575,964.0
-0.570,964.0
-0.565,964.0
-0.560,963.0
-0.555,963.0
-0.550,964.0
-0.545,964.0
-0.540,966.0
-0.535,964.0
-0.530,965.0
-0.525,964.0
-0.520,965.0
-0.515,965.0
-0.510,965.0
-0.505,963.0
-0.500,965.0
-0.495,966.0
-0.490,965.0
-0.485,966.0
-0.480,965.0
-0.475,965.0
-0.470,965.0
-0.465,966.0
-0.460,965.0
-0.455,965.0
-0.450,965.0
-0.445,965.0
-0.440,965.0
-0.435,966.0
-0.430,965.0
-0.425,964.0
-0.420,965.0
-0.415,965.0
-0.410,965.0
-0.405,965.0
-0.400,965.0
-0.395,965.0
-0.390,962.0
-0.385,964.0
-0.380,963.0
-0.375,963.0
-0.370,963.0
-0.365,962.0
-0.360,962.0
-0.355,961.0
-0.350,960.0
-0.345,961.0
-0.340,960.0
-0.335,960.0
-0.330,961.0
-0.325,959.0
-0.320,957.0
-0.315,958.0
-0.310,957.0
-0.305,957.0
-0.300,957.0
-0.295,955.0
-0.290,954.0
-0.285,953.0
-0.280,953.0
-0.275,951.0
-0.270,951.0
-0.265,949.0
-0.260,943.0
-0.255,946.0
-0.250,944.0
-0.245,943.0
-0.240,942.0
-0.235,940.0
-0.230,937.0
-0.225,936.0
-0.220,935.0
-0.215,934.0
-0.210,932.0
-0.205,930.0
-0.200,926.0
-0.195,925.0
-0.190,923.0
-0.185,920.0
-0.180,920.0
-0.175,915.0
-0.170,912.0
-0.165,910.0
-0.160,906.0
-0.155,903.0
-0.150,899.0
-0.145,895.0
-0.140,893.0
-0.135,891.0
-0.130,889.0
-0.125,886.0
-0.120,885.0
-0.115,879.0
-0.110,878.0
-0.105,877.0
-0.100,875.0
-0.095,870.0
-0.090,866.0
-0.085,862.0
-0.080,859.0
-0.075,855.0
-0.070,851.0
-0.065,846.0
-0.060,844.0
-0.055,840.0
-0.050,837.0
-0.045,833.0
-0.040,830.0
-0.035,828.0
-0.030,825.0
-0.025,826.0
-0.020,828.0
-0.015,831.0
-0.010,842.0
-0.005,852.0
0.000,868.0
0.005,883.0
0.010,890.0
0.015,895.0
0.020,898.0
0.025,899.0
0.030,900.0
0.035,902.0
0.040,904.0
0.045,905.0
0.050,906.0
0.055,908.0
0.060,908.0
0.065,909.0
0.070,910.0
0.075,910.0
0.080,910.0
0.085,912.0
0.090,912.0
0.095,914.0
0.100,914.0
0.105,915.0
0.110,914.0
0.115,916.0
0.120,916.0
0.125,916.0
0.130,915.0
0.135,917.0
0.140,916.0
0.145,916.0
0.150,916.0
0.155,918.0
0.160,917.0
0.165,917.0
0.170,918.0
0.175,918.0
0.180,920.0
0.185,917.0
0.190,916.0
0.195,917.0
0.200,918.0
