Tension_X(V),Intensite
-1.000,516.0
-0.995,514.0
-0.990,514.0
-0.985,513.0
-0.980,512.0
-0.975,512.0
-0.970,514.0
-0.965,512.0
-0.960,511.0
-0.955,511.0
-0.950,512.0
-0.945,513.0
-0.940,513.0
-0.935,518.0
-0.930,515.0
-0.925,518.0
-0.920,511.0
-0.915,517.0
-0.910,520.0
-0.905,520.0
-0.900,518.0
-0.895,513.0
-0.890,515.0
-0.885,526.0
-0.880,521.0
-0.875,529.0
-0.870,524.0
-0.865,532.0
-0.860,524.0
-0.855,535.0
-0.850,531.0
-0.845,537.0
-0.840,538.0
-0.835,534.0
-0.830,545.0
-0.825,547.0
-0.820,551.0
-0.815,556.0
-0.810,561.0
-0.805,556.0
-0.800,550.0
-0.795,549.0
-0.790,555.0
-0.785,565.0
-0.780,570.0
-0.775,575.0
-0.770,582.0
-0.765,589.0
-0.760,595.0
-0.755,599.0
-0.750,611.0
-0.745,618.0
-0.740,632.0
-0.735,642.0
-0.730,656.0
-0.725,671.0
-0.720,678.0
-0.715,670.0
-0.710,671.0
-0.705,673.0
-0.700,675.0
-0.695,676.0
-0.690,678.0
-0.685,679.0
-0.680,681.0
-0.675,682.0
-0.670,683.0
-0.665,684.0
-0.660,685.0
-0.655,686.0
-0.650,687.0
-0.645,687.0
-0.640,688.0
-0.635,690.0
-0.630,690.0
-0.625,688.0
-0.620,692.0
-0.615,692.0
-0.610,690.0
-0.605,693.0
-0.600,693.0
-0.595,691.0
-0.590,695.0
-0.585,695.0
-0.580,695.0
-0.575,695.0
-0.570,696.0
-0.565,697.0
-0.560,697.0
-0.555,697.0
-0.550,697.0
-0.545,699.0
-0.540,695.0
-0.535,698.0
-0.530,698.0
-0.525,698.0
-0.520,698.0
-0.515,696.0
-0.510,698.0
-0.505,699.0
-0.500,699.0
-0.495,699.0
-0.490,700.0
-0.485,699.0
-0.480,699.0
-0.475,700.0
-0.470,700.0
-0.465,700.0
-0.460,700.0
-0.455,698.0
-0.450,700.0
-0.445,700.0
-0.440,701.0
-0.435,700.0
-0.430,700.0
-0.425,700.0
-0.420,701.0
-0.415,701.0
-0.410,700.0
-0.405,701.0
-0.400,701.0
-0.395,701.0
-0.390,700.0
-0.385,700.0
-0.380,699.0
-0.375,698.0
-0.370,700.0
-0.365,700.0
-0.360,700.0
-0.355,699.0
-0.350,700.0
-0.345,698.0
-0.340,699.0
-0.335,699.0
-0.330,697.0
-0.325,696.0
-0.320,697.0
-0.315,696.0
-0.310,695.0
-0.305,695.0
-0.300,694.0
-0.295,694.0
-0.290,693.0
-0.285,693.0
-0.280,691.0
-0.275,691.0
-0.270,690.0
-0.265,689.0
-0.260,687.0
-0.255,687.0
-0.250,685.0
-0.245,681.0
-0.240,682.0
-0.235,681.0
-0.230,679.0
-0.225,679.0
-0.220,675.0
-0.215,674.0
-0.210,671.0
-0.205,669.0
-0.200,667.0
-0.195,665.0
-0.190,664.0
-0.185,660.0
-0.180,657.0
-0.175,655.0
-0.170,653.0
-0.165,650.0
-0.160,649.0
-0.155,647.0
-0.150,646.0
-0.145,644.0
-0.140,643.0
-0.135,643.0
-0.130,642.0
-0.125,642.0
-0.120,640.0
-0.115,638.0
-0.110,639.0
-0.105,639.0
-0.100,637.0
-0.095,637.0
-0.090,636.0
-0.085,638.0
-0.080,635.0
-0.075,636.0
-0.070,633.0
-0.065,633.0
-0.060,634.0
-0.055,633.0
-0.050,633.0
-0.045,634.0
-0.040,634.0
-0.035,634.0
-0.030,635.0
-0.025,636.0
-0.020,636.0
-0.015,638.0
-0.010,637.0
-0.005,641.0
0.000,641.0
0.005,644.0
0.010,645.0
0.015,648.0
0.020,650.0
0.025,651.0
0.030,654.0
0.035,656.0
0.040,657.0
0.045,659.0
0.050,659.0
0.055,661.0
0.060,661.0
0.065,663.0
0.070,664.0
0.075,665.0
0.080,665.0
0.085,668.0
0.090,668.0
0.095,667.0
0.100,669.0
0.105,670.0
0.110,670.0
0.115,670.0
0.120,671.0
0.125,669.0
0.130,673.0
0.135,673.0
0.140,674.0
0.145,673.0
0.150,674.0
0.155,674.0
0.160,676.0
0.165,673.0
0.170,675.0
0.175,674.0
0.180,673.0
0.185,674.0
0.190,676.0
0.195,675.0
0.200,675.0
0.205,676.0
0.210,676.0
