row_index,column_index,acquisition_index,scan_direction,x_voltage,y_voltage,intensity
17,100,0,reverse,1.000,0.340,354.0
17,99,1,reverse,0.980,0.340,356.0
17,98,2,reverse,0.960,0.340,355.0
17,97,3,reverse,0.940,0.340,353.0
17,96,4,reverse,0.920,0.340,355.0
17,95,5,reverse,0.900,0.340,355.0
17,94,6,reverse,0.880,0.340,356.0
17,93,7,reverse,0.860,0.340,359.0
17,92,8,reverse,0.840,0.340,356.0
17,91,9,reverse,0.820,0.340,356.0
17,90,10,reverse,0.800,0.340,357.0
17,89,11,reverse,0.780,0.340,363.0
17,88,12,reverse,0.760,0.340,361.0
17,87,13,reverse,0.740,0.340,359.0
17,86,14,reverse,0.720,0.340,359.0
17,85,15,reverse,0.700,0.340,361.0
17,84,16,reverse,0.680,0.340,357.0
17,83,17,reverse,0.660,0.340,364.0
17,82,18,reverse,0.640,0.340,360.0
17,81,19,reverse,0.620,0.340,364.0
17,80,20,reverse,0.600,0.340,367.0
17,79,21,reverse,0.580,0.340,369.0
17,78,22,reverse,0.560,0.340,372.0
17,77,23,reverse,0.540,0.340,383.0
17,76,24,reverse,0.520,0.340,393.0
17,75,25,reverse,0.500,0.340,399.0
17,74,26,reverse,0.480,0.340,406.0
17,73,27,reverse,0.460,0.340,409.0
17,72,28,reverse,0.440,0.340,410.0
17,71,29,reverse,0.420,0.340,412.0
17,70,30,reverse,0.400,0.340,414.0
17,69,31,reverse,0.380,0.340,414.0
17,68,32,reverse,0.360,0.340,415.0
17,67,33,reverse,0.340,0.340,414.0
17,66,34,reverse,0.320,0.340,414.0
17,65,35,reverse,0.300,0.340,413.0
17,64,36,reverse,0.280,0.340,411.0
17,63,37,reverse,0.260,0.340,411.0
17,62,38,reverse,0.240,0.340,404.0
17,61,39,reverse,0.220,0.340,405.0
17,60,40,reverse,0.200,0.340,405.0
17,59,41,reverse,0.180,0.340,401.0
17,58,42,reverse,0.160,0.340,396.0
17,57,43,reverse,0.140,0.340,398.0
17,56,44,reverse,0.120,0.340,385.0
17,55,45,reverse,0.100,0.340,380.0
17,54,46,reverse,0.080,0.340,376.0
17,53,47,reverse,0.060,0.340,371.0
17,52,48,reverse,0.040,0.340,369.0
17,51,49,reverse,0.020,0.340,369.0
17,50,50,reverse,0.000,0.340,368.0
17,49,51,reverse,-0.020,0.340,369.0
17,48,52,reverse,-0.040,0.340,364.0
17,47,53,reverse,-0.060,0.340,366.0
17,46,54,reverse,-0.080,0.340,364.0
17,45,55,reverse,-0.100,0.340,367.0
17,44,56,reverse,-0.120,0.340,365.0
17,43,57,reverse,-0.140,0.340,364.0
17,42,58,reverse,-0.160,0.340,369.0
17,41,59,reverse,-0.180,0.340,372.0
17,40,60,reverse,-0.200,0.340,366.0
17,39,61,reverse,-0.220,0.340,370.0
17,38,62,reverse,-0.240,0.340,383.0
17,37,63,reverse,-0.260,0.340,390.0
17,36,64,reverse,-0.280,0.340,396.0
17,35,65,reverse,-0.300,0.340,406.0
17,34,66,reverse,-0.320,0.340,407.0
17,33,67,reverse,-0.340,0.340,409.0
17,32,68,reverse,-0.360,0.340,413.0
17,31,69,reverse,-0.380,0.340,408.0
17,30,70,reverse,-0.400,0.340,410.0
17,29,71,reverse,-0.420,0.340,412.0
17,28,72,reverse,-0.440,0.340,408.0
17,27,73,reverse,-0.460,0.340,405.0
17,26,74,reverse,-0.480,0.340,405.0
17,25,75,reverse,-0.500,0.340,401.0
17,24,76,reverse,-0.520,0.340,398.0
17,23,77,reverse,-0.540,0.340,395.0
17,22,78,reverse,-0.560,0.340,390.0
17,21,79,reverse,-0.580,0.340,388.0
17,20,80,reverse,-0.600,0.340,376.0
17,19,81,reverse,-0.620,0.340,374.0
17,18,82,reverse,-0.640,0.340,371.0
17,17,83,reverse,-0.660,0.340,368.0
17,16,84,reverse,-0.680,0.340,366.0
17,15,85,reverse,-0.700,0.340,365.0
17,14,86,reverse,-0.720,0.340,362.0
17,13,87,reverse,-0.740,0.340,366.0
17,12,88,reverse,-0.760,0.340,364.0
17,11,89,reverse,-0.780,0.340,363.0
17,10,90,reverse,-0.800,0.340,363.0
17,9,91,reverse,-0.820,0.340,363.0
17,8,92,reverse,-0.840,0.340,360.0
17,7,93,reverse,-0.860,0.340,359.0
17,6,94,reverse,-0.880,0.340,359.0
17,5,95,reverse,-0.900,0.340,366.0
17,4,96,reverse,-0.920,0.340,361.0
17,3,97,reverse,-0.940,0.340,356.0
17,2,98,reverse,-0.960,0.340,358.0
17,1,99,reverse,-0.980,0.340,355.0
17,0,100,reverse,-1.000,0.340,355.0
