row_index,column_index,acquisition_index,scan_direction,x_voltage,y_voltage,intensity
45,100,0,reverse,1.000,0.900,429.0
45,99,1,reverse,0.980,0.900,427.0
45,98,2,reverse,0.960,0.900,427.0
45,97,3,reverse,0.940,0.900,425.0
45,96,4,reverse,0.920,0.900,429.0
45,95,5,reverse,0.900,0.900,427.0
45,94,6,reverse,0.880,0.900,427.0
45,93,7,reverse,0.860,0.900,427.0
45,92,8,reverse,0.840,0.900,428.0
45,91,9,reverse,0.820,0.900,431.0
45,90,10,reverse,0.800,0.900,429.0
45,89,11,reverse,0.780,0.900,427.0
45,88,12,reverse,0.760,0.900,431.0
45,87,13,reverse,0.740,0.900,428.0
45,86,14,reverse,0.720,0.900,429.0
45,85,15,reverse,0.700,0.900,428.0
45,84,16,reverse,0.680,0.900,424.0
45,83,17,reverse,0.660,0.900,427.0
45,82,18,reverse,0.640,0.900,424.0
45,81,19,reverse,0.620,0.900,427.0
45,80,20,reverse,0.600,0.900,426.0
45,79,21,reverse,0.580,0.900,426.0
45,78,22,reverse,0.560,0.900,432.0
45,77,23,reverse,0.540,0.900,428.0
45,76,24,reverse,0.520,0.900,425.0
45,75,25,reverse,0.500,0.900,430.0
45,74,26,reverse,0.480,0.900,429.0
45,73,27,reverse,0.460,0.900,427.0
45,72,28,reverse,0.440,0.900,428.0
45,71,29,reverse,0.420,0.900,425.0
45,70,30,reverse,0.400,0.900,428.0
45,69,31,reverse,0.380,0.900,425.0
45,68,32,reverse,0.360,0.900,428.0
45,67,33,reverse,0.340,0.900,430.0
45,66,34,reverse,0.320,0.900,428.0
45,65,35,reverse,0.300,0.900,430.0
45,64,36,reverse,0.280,0.900,429.0
45,63,37,reverse,0.260,0.900,428.0
45,62,38,reverse,0.240,0.900,429.0
45,61,39,reverse,0.220,0.900,427.0
45,60,40,reverse,0.200,0.900,427.0
45,59,41,reverse,0.180,0.900,426.0
45,58,42,reverse,0.160,0.900,431.0
45,57,43,reverse,0.140,0.900,429.0
45,56,44,reverse,0.120,0.900,431.0
45,55,45,reverse,0.100,0.900,430.0
45,54,46,reverse,0.080,0.900,425.0
45,53,47,reverse,0.060,0.900,429.0
45,52,48,reverse,0.040,0.900,428.0
45,51,49,reverse,0.020,0.900,433.0
45,50,50,reverse,0.000,0.900,429.0
45,49,51,reverse,-0.020,0.900,430.0
45,48,52,reverse,-0.040,0.900,426.0
45,47,53,reverse,-0.060,0.900,429.0
45,46,54,reverse,-0.080,0.900,429.0
45,45,55,reverse,-0.100,0.900,428.0
45,44,56,reverse,-0.120,0.900,431.0
45,43,57,reverse,-0.140,0.900,430.0
45,42,58,reverse,-0.160,0.900,429.0
45,41,59,reverse,-0.180,0.900,430.0
45,40,60,reverse,-0.200,0.900,426.0
45,39,61,reverse,-0.220,0.900,430.0
45,38,62,reverse,-0.240,0.900,427.0
45,37,63,reverse,-0.260,0.900,429.0
45,36,64,reverse,-0.280,0.900,429.0
45,35,65,reverse,-0.300,0.900,430.0
45,34,66,reverse,-0.320,0.900,432.0
45,33,67,reverse,-0.340,0.900,430.0
45,32,68,reverse,-0.360,0.900,436.0
45,31,69,reverse,-0.380,0.900,431.0
45,30,70,reverse,-0.400,0.900,427.0
45,29,71,reverse,-0.420,0.900,427.0
45,28,72,reverse,-0.440,0.900,431.0
45,27,73,reverse,-0.460,0.900,430.0
45,26,74,reverse,-0.480,0.900,428.0
45,25,75,reverse,-0.500,0.900,429.0
45,24,76,reverse,-0.520,0.900,430.0
45,23,77,reverse,-0.540,0.900,430.0
45,22,78,reverse,-0.560,0.900,434.0
45,21,79,reverse,-0.580,0.900,431.0
45,20,80,reverse,-0.600,0.900,431.0
45,19,81,reverse,-0.620,0.900,430.0
45,18,82,reverse,-0.640,0.900,431.0
45,17,83,reverse,-0.660,0.900,429.0
45,16,84,reverse,-0.680,0.900,430.0
45,15,85,reverse,-0.700,0.900,433.0
45,14,86,reverse,-0.720,0.900,428.0
45,13,87,reverse,-0.740,0.900,425.0
45,12,88,reverse,-0.760,0.900,431.0
45,11,89,reverse,-0.780,0.900,429.0
45,10,90,reverse,-0.800,0.900,425.0
45,9,91,reverse,-0.820,0.900,429.0
45,8,92,reverse,-0.840,0.900,425.0
45,7,93,reverse,-0.860,0.900,429.0
45,6,94,reverse,-0.880,0.900,429.0
45,5,95,reverse,-0.900,0.900,428.0
45,4,96,reverse,-0.920,0.900,427.0
45,3,97,reverse,-0.940,0.900,428.0
45,2,98,reverse,-0.960,0.900,429.0
45,1,99,reverse,-0.980,0.900,429.0
45,0,100,reverse,-1.000,0.900,428.0
