row_index,column_index,acquisition_index,scan_direction,x_voltage,y_voltage,intensity
30,0,0,forward,-1.000,-0.400,449.0
30,1,1,forward,-0.980,-0.400,450.0
30,2,2,forward,-0.960,-0.400,448.0
30,3,3,forward,-0.940,-0.400,447.0
30,4,4,forward,-0.920,-0.400,447.0
30,5,5,forward,-0.900,-0.400,447.0
30,6,6,forward,-0.880,-0.400,449.0
30,7,7,forward,-0.860,-0.400,450.0
30,8,8,forward,-0.840,-0.400,449.0
30,9,9,forward,-0.820,-0.400,449.0
30,10,10,forward,-0.800,-0.400,450.0
30,11,11,forward,-0.780,-0.400,448.0
30,12,12,forward,-0.760,-0.400,449.0
30,13,13,forward,-0.740,-0.400,449.0
30,14,14,forward,-0.720,-0.400,450.0
30,15,15,forward,-0.700,-0.400,450.0
30,16,16,forward,-0.680,-0.400,452.0
30,17,17,forward,-0.660,-0.400,450.0
30,18,18,forward,-0.640,-0.400,450.0
30,19,19,forward,-0.620,-0.400,448.0
30,20,20,forward,-0.600,-0.400,449.0
30,21,21,forward,-0.580,-0.400,449.0
30,22,22,forward,-0.560,-0.400,450.0
30,23,23,forward,-0.540,-0.400,450.0
30,24,24,forward,-0.520,-0.400,449.0
30,25,25,forward,-0.500,-0.400,449.0
30,26,26,forward,-0.480,-0.400,450.0
30,27,27,forward,-0.460,-0.400,450.0
30,28,28,forward,-0.440,-0.400,450.0
30,29,29,forward,-0.420,-0.400,450.0
30,30,30,forward,-0.400,-0.400,448.0
30,31,31,forward,-0.380,-0.400,452.0
30,32,32,forward,-0.360,-0.400,449.0
30,33,33,forward,-0.340,-0.400,449.0
30,34,34,forward,-0.320,-0.400,449.0
30,35,35,forward,-0.300,-0.400,449.0
30,36,36,forward,-0.280,-0.400,451.0
30,37,37,forward,-0.260,-0.400,450.0
30,38,38,forward,-0.240,-0.400,450.0
30,39,39,forward,-0.220,-0.400,447.0
30,40,40,forward,-0.200,-0.400,450.0
30,41,41,forward,-0.180,-0.400,448.0
30,42,42,forward,-0.160,-0.400,450.0
30,43,43,forward,-0.140,-0.400,449.0
30,44,44,forward,-0.120,-0.400,449.0
30,45,45,forward,-0.100,-0.400,451.0
30,46,46,forward,-0.080,-0.400,450.0
30,47,47,forward,-0.060,-0.400,450.0
30,48,48,forward,-0.040,-0.400,449.0
30,49,49,forward,-0.020,-0.400,449.0
30,50,50,forward,0.000,-0.400,449.0
30,51,51,forward,0.020,-0.400,449.0
30,52,52,forward,0.040,-0.400,450.0
30,53,53,forward,0.060,-0.400,450.0
30,54,54,forward,0.080,-0.400,450.0
30,55,55,forward,0.100,-0.400,449.0
30,56,56,forward,0.120,-0.400,447.0
30,57,57,forward,0.140,-0.400,449.0
30,58,58,forward,0.160,-0.400,450.0
30,59,59,forward,0.180,-0.400,449.0
30,60,60,forward,0.200,-0.400,449.0
30,61,61,forward,0.220,-0.400,450.0
30,62,62,forward,0.240,-0.400,450.0
30,63,63,forward,0.260,-0.400,450.0
30,64,64,forward,0.280,-0.400,447.0
30,65,65,forward,0.300,-0.400,451.0
30,66,66,forward,0.320,-0.400,449.0
30,67,67,forward,0.340,-0.400,449.0
30,68,68,forward,0.360,-0.400,450.0
30,69,69,forward,0.380,-0.400,448.0
30,70,70,forward,0.400,-0.400,451.0
30,71,71,forward,0.420,-0.400,448.0
30,72,72,forward,0.440,-0.400,449.0
30,73,73,forward,0.460,-0.400,450.0
30,74,74,forward,0.480,-0.400,448.0
30,75,75,forward,0.500,-0.400,451.0
30,76,76,forward,0.520,-0.400,450.0
30,77,77,forward,0.540,-0.400,448.0
30,78,78,forward,0.560,-0.400,450.0
30,79,79,forward,0.580,-0.400,451.0
30,80,80,forward,0.600,-0.400,445.0
30,81,81,forward,0.620,-0.400,450.0
30,82,82,forward,0.640,-0.400,450.0
30,83,83,forward,0.660,-0.400,449.0
30,84,84,forward,0.680,-0.400,450.0
30,85,85,forward,0.700,-0.400,449.0
30,86,86,forward,0.720,-0.400,450.0
30,87,87,forward,0.740,-0.400,450.0
30,88,88,forward,0.760,-0.400,449.0
30,89,89,forward,0.780,-0.400,449.0
30,90,90,forward,0.800,-0.400,449.0
30,91,91,forward,0.820,-0.400,450.0
30,92,92,forward,0.840,-0.400,450.0
30,93,93,forward,0.860,-0.400,450.0
30,94,94,forward,0.880,-0.400,449.0
30,95,95,forward,0.900,-0.400,451.0
30,96,96,forward,0.920,-0.400,449.0
30,97,97,forward,0.940,-0.400,449.0
30,98,98,forward,0.960,-0.400,450.0
30,99,99,forward,0.980,-0.400,450.0
30,100,100,forward,1.000,-0.400,449.0
