row_index,column_index,acquisition_index,scan_direction,x_voltage,y_voltage,intensity
73,100,0,reverse,1.000,0.460,511.0
73,99,1,reverse,0.980,0.460,507.0
73,98,2,reverse,0.960,0.460,507.0
73,97,3,reverse,0.940,0.460,505.0
73,96,4,reverse,0.920,0.460,503.0
73,95,5,reverse,0.900,0.460,501.0
73,94,6,reverse,0.880,0.460,499.0
73,93,7,reverse,0.860,0.460,498.0
73,92,8,reverse,0.840,0.460,496.0
73,91,9,reverse,0.820,0.460,495.0
73,90,10,reverse,0.800,0.460,493.0
73,89,11,reverse,0.780,0.460,492.0
73,88,12,reverse,0.760,0.460,490.0
73,87,13,reverse,0.740,0.460,489.0
73,86,14,reverse,0.720,0.460,488.0
73,85,15,reverse,0.700,0.460,485.0
73,84,16,reverse,0.680,0.460,485.0
73,83,17,reverse,0.660,0.460,484.0
73,82,18,reverse,0.640,0.460,483.0
73,81,19,reverse,0.620,0.460,481.0
73,80,20,reverse,0.600,0.460,480.0
73,79,21,reverse,0.580,0.460,478.0
73,78,22,reverse,0.560,0.460,478.0
73,77,23,reverse,0.540,0.460,477.0
73,76,24,reverse,0.520,0.460,475.0
73,75,25,reverse,0.500,0.460,475.0
73,74,26,reverse,0.480,0.460,474.0
73,73,27,reverse,0.460,0.460,476.0
73,72,28,reverse,0.440,0.460,474.0
73,71,29,reverse,0.420,0.460,472.0
73,70,30,reverse,0.400,0.460,473.0
73,69,31,reverse,0.380,0.460,475.0
73,68,32,reverse,0.360,0.460,480.0
73,67,33,reverse,0.340,0.460,486.0
73,66,34,reverse,0.320,0.460,494.0
73,65,35,reverse,0.300,0.460,503.0
73,64,36,reverse,0.280,0.460,515.0
73,63,37,reverse,0.260,0.460,523.0
73,62,38,reverse,0.240,0.460,529.0
73,61,39,reverse,0.220,0.460,537.0
73,60,40,reverse,0.200,0.460,540.0
73,59,41,reverse,0.180,0.460,544.0
73,58,42,reverse,0.160,0.460,547.0
73,57,43,reverse,0.140,0.460,549.0
73,56,44,reverse,0.120,0.460,546.0
73,55,45,reverse,0.100,0.460,548.0
73,54,46,reverse,0.080,0.460,546.0
73,53,47,reverse,0.060,0.460,544.0
73,52,48,reverse,0.040,0.460,541.0
73,51,49,reverse,0.020,0.460,537.0
73,50,50,reverse,0.000,0.460,535.0
73,49,51,reverse,-0.020,0.460,532.0
73,48,52,reverse,-0.040,0.460,530.0
73,47,53,reverse,-0.060,0.460,530.0
73,46,54,reverse,-0.080,0.460,527.0
73,45,55,reverse,-0.100,0.460,523.0
73,44,56,reverse,-0.120,0.460,521.0
73,43,57,reverse,-0.140,0.460,518.0
73,42,58,reverse,-0.160,0.460,514.0
73,41,59,reverse,-0.180,0.460,514.0
73,40,60,reverse,-0.200,0.460,512.0
73,39,61,reverse,-0.220,0.460,510.0
73,38,62,reverse,-0.240,0.460,509.0
73,37,63,reverse,-0.260,0.460,507.0
73,36,64,reverse,-0.280,0.460,505.0
73,35,65,reverse,-0.300,0.460,503.0
73,34,66,reverse,-0.320,0.460,496.0
73,33,67,reverse,-0.340,0.460,500.0
73,32,68,reverse,-0.360,0.460,501.0
73,31,69,reverse,-0.380,0.460,508.0
73,30,70,reverse,-0.400,0.460,523.0
73,29,71,reverse,-0.420,0.460,551.0
73,28,72,reverse,-0.440,0.460,589.0
73,27,73,reverse,-0.460,0.460,619.0
73,26,74,reverse,-0.480,0.460,625.0
73,25,75,reverse,-0.500,0.460,621.0
73,24,76,reverse,-0.520,0.460,620.0
73,23,77,reverse,-0.540,0.460,618.0
73,22,78,reverse,-0.560,0.460,618.0
73,21,79,reverse,-0.580,0.460,615.0
73,20,80,reverse,-0.600,0.460,614.0
73,19,81,reverse,-0.620,0.460,611.0
73,18,82,reverse,-0.640,0.460,605.0
73,17,83,reverse,-0.660,0.460,602.0
73,16,84,reverse,-0.680,0.460,599.0
73,15,85,reverse,-0.700,0.460,593.0
73,14,86,reverse,-0.720,0.460,589.0
73,13,87,reverse,-0.740,0.460,585.0
73,12,88,reverse,-0.760,0.460,581.0
73,11,89,reverse,-0.780,0.460,577.0
73,10,90,reverse,-0.800,0.460,574.0
73,9,91,reverse,-0.820,0.460,569.0
73,8,92,reverse,-0.840,0.460,568.0
73,7,93,reverse,-0.860,0.460,563.0
73,6,94,reverse,-0.880,0.460,559.0
73,5,95,reverse,-0.900,0.460,556.0
73,4,96,reverse,-0.920,0.460,555.0
73,3,97,reverse,-0.940,0.460,547.0
73,2,98,reverse,-0.960,0.460,547.0
73,1,99,reverse,-0.980,0.460,544.0
73,0,100,reverse,-1.000,0.460,542.0
