row_index,column_index,acquisition_index,scan_direction,x_voltage,y_voltage,intensity
79,100,0,reverse,1.000,0.580,545.0
79,99,1,reverse,0.980,0.580,542.0
79,98,2,reverse,0.960,0.580,540.0
79,97,3,reverse,0.940,0.580,537.0
79,96,4,reverse,0.920,0.580,534.0
79,95,5,reverse,0.900,0.580,531.0
79,94,6,reverse,0.880,0.580,528.0
79,93,7,reverse,0.860,0.580,527.0
79,92,8,reverse,0.840,0.580,524.0
79,91,9,reverse,0.820,0.580,522.0
79,90,10,reverse,0.800,0.580,518.0
79,89,11,reverse,0.780,0.580,516.0
79,88,12,reverse,0.760,0.580,514.0
79,87,13,reverse,0.740,0.580,511.0
79,86,14,reverse,0.720,0.580,511.0
79,85,15,reverse,0.700,0.580,510.0
79,84,16,reverse,0.680,0.580,509.0
79,83,17,reverse,0.660,0.580,506.0
79,82,18,reverse,0.640,0.580,505.0
79,81,19,reverse,0.620,0.580,504.0
79,80,20,reverse,0.600,0.580,503.0
79,79,21,reverse,0.580,0.580,504.0
79,78,22,reverse,0.560,0.580,503.0
79,77,23,reverse,0.540,0.580,502.0
79,76,24,reverse,0.520,0.580,503.0
79,75,25,reverse,0.500,0.580,503.0
79,74,26,reverse,0.480,0.580,505.0
79,73,27,reverse,0.460,0.580,506.0
79,72,28,reverse,0.440,0.580,512.0
79,71,29,reverse,0.420,0.580,521.0
79,70,30,reverse,0.400,0.580,548.0
79,69,31,reverse,0.380,0.580,585.0
79,68,32,reverse,0.360,0.580,635.0
79,67,33,reverse,0.340,0.580,669.0
79,66,34,reverse,0.320,0.580,669.0
79,65,35,reverse,0.300,0.580,671.0
79,64,36,reverse,0.280,0.580,672.0
79,63,37,reverse,0.260,0.580,674.0
79,62,38,reverse,0.240,0.580,674.0
79,61,39,reverse,0.220,0.580,673.0
79,60,40,reverse,0.200,0.580,675.0
79,59,41,reverse,0.180,0.580,673.0
79,58,42,reverse,0.160,0.580,674.0
79,57,43,reverse,0.140,0.580,673.0
79,56,44,reverse,0.120,0.580,670.0
79,55,45,reverse,0.100,0.580,668.0
79,54,46,reverse,0.080,0.580,665.0
79,53,47,reverse,0.060,0.580,662.0
79,52,48,reverse,0.040,0.580,658.0
79,51,49,reverse,0.020,0.580,651.0
79,50,50,reverse,0.000,0.580,651.0
79,49,51,reverse,-0.020,0.580,644.0
79,48,52,reverse,-0.040,0.580,640.0
79,47,53,reverse,-0.060,0.580,638.0
79,46,54,reverse,-0.080,0.580,636.0
79,45,55,reverse,-0.100,0.580,634.0
79,44,56,reverse,-0.120,0.580,633.0
79,43,57,reverse,-0.140,0.580,631.0
79,42,58,reverse,-0.160,0.580,629.0
79,41,59,reverse,-0.180,0.580,630.0
79,40,60,reverse,-0.200,0.580,630.0
79,39,61,reverse,-0.220,0.580,630.0
79,38,62,reverse,-0.240,0.580,631.0
79,37,63,reverse,-0.260,0.580,631.0
79,36,64,reverse,-0.280,0.580,631.0
79,35,65,reverse,-0.300,0.580,633.0
79,34,66,reverse,-0.320,0.580,635.0
79,33,67,reverse,-0.340,0.580,639.0
79,32,68,reverse,-0.360,0.580,642.0
79,31,69,reverse,-0.380,0.580,644.0
79,30,70,reverse,-0.400,0.580,650.0
79,29,71,reverse,-0.420,0.580,650.0
79,28,72,reverse,-0.440,0.580,656.0
79,27,73,reverse,-0.460,0.580,661.0
79,26,74,reverse,-0.480,0.580,662.0
79,25,75,reverse,-0.500,0.580,665.0
79,24,76,reverse,-0.520,0.580,663.0
79,23,77,reverse,-0.540,0.580,664.0
79,22,78,reverse,-0.560,0.580,663.0
79,21,79,reverse,-0.580,0.580,661.0
79,20,80,reverse,-0.600,0.580,659.0
79,19,81,reverse,-0.620,0.580,656.0
79,18,82,reverse,-0.640,0.580,653.0
79,17,83,reverse,-0.660,0.580,648.0
79,16,84,reverse,-0.680,0.580,645.0
79,15,85,reverse,-0.700,0.580,643.0
79,14,86,reverse,-0.720,0.580,639.0
79,13,87,reverse,-0.740,0.580,636.0
79,12,88,reverse,-0.760,0.580,635.0
79,11,89,reverse,-0.780,0.580,632.0
79,10,90,reverse,-0.800,0.580,628.0
79,9,91,reverse,-0.820,0.580,625.0
79,8,92,reverse,-0.840,0.580,625.0
79,7,93,reverse,-0.860,0.580,622.0
79,6,94,reverse,-0.880,0.580,620.0
79,5,95,reverse,-0.900,0.580,617.0
79,4,96,reverse,-0.920,0.580,615.0
79,3,97,reverse,-0.940,0.580,612.0
79,2,98,reverse,-0.960,0.580,609.0
79,1,99,reverse,-0.980,0.580,608.0
79,0,100,reverse,-1.000,0.580,603.0
